Origin,Destination,Carrier,Notes,Source,Origin_Airport_Name,Origin_FAA_ID,Origin_ICAO,Origin_Status,Origin_Region,Origin_Owner,Origin_Lat,Origin_Lon,Destination_Airport_Name,Destination_FAA_ID,Destination_ICAO,Destination_Status,Destination_Region,Destination_Owner,Destination_Lat,Destination_Lon
ANC,Aniak,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Aniak Apt,ANI,PANI,Standard,Central,DOT&PF Controlled,61.5815969,-159.5430428
ANC,Bethel,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Bethel Apt,BET,PABE,Standard,Central,DOT&PF Controlled,60.7785568,-161.8371774
ANC,Dillingham,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Dillingham Apt,DLG,PADL,Standard,Central,DOT&PF Controlled,59.0446667,-158.5055
ANC,Galena,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Galena Apt,GAL,PAGA,Standard,Northern,DOT&PF Controlled,64.7361667,-156.9373889
ANC,King Salmon,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,King Salmon Apt,AKN,PAKN,Standard,Southcoast,DOT&PF Controlled,58.6764935,-156.648691
ANC,Kotzebue,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529
ANC,Nome,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458
ANC,Unalakleet,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Unalakleet Apt,UNK,PAUN,Standard,Northern,DOT&PF Controlled,63.8884956,-160.7991109
FAI,Kotzebue,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529
FAI,Aniak,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Aniak Apt,ANI,PANI,Standard,Central,DOT&PF Controlled,61.5815969,-159.5430428
